年	州	州略号	州FIPSコード	州CENコード	州ICコード	役職	候補者	政党	主要政党	書き込み投票	候補者得票数	総投票数	バージョン
1976	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	659170	1182850	20171015
1980	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	636730	1341929	20171015
1984	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ウォルター・モンデール	民主党	民主党	FALSE	551899	1441713	20171015
1988	アラバマ	AL	1	63	41	アメリカ合衆国大統領	マイケル・デュカキス	民主党	民主党	FALSE	549506	1378476	20171015
1992	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	690080	1688060	20171015
1996	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	662165	1534349	20171015
2000	アラバマ	AL	1	63	41	アメリカ合衆国大統領	アル・ゴア	民主党	民主党	FALSE	692611	1666272	20171015
2004	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ジョン・ケリー	民主党	民主党	FALSE	693933	1883415	20171015
2008	アラバマ	AL	1	63	41	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	813479	2099819	20171015
2012	アラバマ	AL	1	63	41	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	795696	2074338	20171015
2016	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ヒラリー・クリントン	民主党	民主党	FALSE	729547	2123372	20171015
1976	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ジェラルド・フォード	共和党	共和党	FALSE	504070	1182850	20171015
1980	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	654192	1341929	20171015
1984	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	872849	1441713	20171015
1988	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	815576	1378476	20171015
1992	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	804283	1688060	20171015
1996	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ロバート・ドール	共和党	共和党	FALSE	769044	1534349	20171015
2000	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	941173	1666272	20171015
2004	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	1176394	1883415	20171015
2008	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ジョン・マケイン	共和党	共和党	FALSE	1266546	2099819	20171015
2012	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ミット・ロムニー	共和党	共和党	FALSE	1255925	2074338	20171015
2016	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ドナルド・J・トランプ	共和党	共和党	FALSE	1318255	2123372	20171015
