文字	言語	頻度（%）
a	チェコ語	8.42
e	チェコ語	7.56
o	チェコ語	6.7
n	チェコ語	6.47
i	チェコ語	6.07
t	チェコ語	5.73
v	チェコ語	5.34
s	チェコ語	5.21
r	チェコ語	4.8
l	チェコ語	3.8
d	チェコ語	3.48
k	チェコ語	2.89
m	チェコ語	2.45
u	チェコ語	2.16
p	チェコ語	1.91
z	チェコ語	1.5
j	チェコ語	1.43
h	チェコ語	1.36
y	チェコ語	1.04
b	チェコ語	0.82
c	チェコ語	0.74
g	チェコ語	0.09
f	チェコ語	0.08
x	チェコ語	0.03
w	チェコ語	0.02
q	チェコ語	0
e	デンマーク語	15.45
r	デンマーク語	8.96
n	デンマーク語	7.24
t	デンマーク語	6.86
a	デンマーク語	6.03
i	デンマーク語	6
d	デンマーク語	5.86
s	デンマーク語	5.81
l	デンマーク語	5.23
o	デンマーク語	4.64
g	デンマーク語	4.08
k	デンマーク語	3.4
m	デンマーク語	3.24
f	デンマーク語	2.41
v	デンマーク語	2.33
b	デンマーク語	2
u	デンマーク語	1.98
p	デンマーク語	1.76
h	デンマーク語	1.62
j	デンマーク語	0.73
y	デンマーク語	0.7
c	デンマーク語	0.57
w	デンマーク語	0.07
x	デンマーク語	0.03
z	デンマーク語	0.03
q	デンマーク語	0.01
e	オランダ語	18.91
n	オランダ語	10.03
a	オランダ語	7.49
t	オランダ語	6.79
i	オランダ語	6.5
r	オランダ語	6.41
o	オランダ語	6.06
d	オランダ語	5.93
s	オランダ語	3.73
l	オランダ語	3.57
g	オランダ語	3.4
v	オランダ語	2.85
h	オランダ語	2.38
k	オランダ語	2.25
m	オランダ語	2.21
u	オランダ語	1.99
b	オランダ語	1.58
p	オランダ語	1.57
w	オランダ語	1.52
j	オランダ語	1.46
z	オランダ語	1.39
c	オランダ語	1.24
f	オランダ語	0.81
x	オランダ語	0.04
y	オランダ語	0.04
q	オランダ語	0.01
e	英語	12.7
t	英語	9.06
a	英語	8.17
o	英語	7.51
i	英語	6.97
n	英語	6.75
s	英語	6.33
h	英語	6.09
r	英語	5.99
d	英語	4.25
l	英語	4.03
c	英語	2.78
u	英語	2.76
m	英語	2.41
w	英語	2.36
f	英語	2.23
g	英語	2.02
y	英語	1.97
p	英語	1.93
b	英語	1.49
v	英語	0.98
k	英語	0.77
